VALEUR,#le-recitant,#un-balayeur,#un-badaud #une-nourrice #une-servante,#trois-ramoneurs,#le-crieur-de-ratons,#quatre-pages,#un-danseur-de-corde,#deux-filous,#deux-maures
Fréquences (scènes),0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
Fréquences(répliques),0.0,0.0,0.09523809523809523,0.2857142857142857,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.09523809523809523
Confrontation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Déviations,#le-recitant,#un-balayeur,#un-badaud #une-nourrice #une-servante,#trois-ramoneurs,#le-crieur-de-ratons,#quatre-pages,#un-danseur-de-corde,#deux-filous,#deux-maures
#le-recitant,8.1,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#un-balayeur,0.10000000000000002,8.1,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#un-badaud #une-nourrice #une-servante,0.10000000000000002,0.10000000000000002,8.1,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#trois-ramoneurs,0.20000000000000004,0.20000000000000004,0.20000000000000004,6.400000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#le-crieur-de-ratons,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.20000000000000004,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#quatre-pages,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.10000000000000002,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002
#un-danseur-de-corde,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.10000000000000002,8.1,0.10000000000000002,0.10000000000000002
#deux-filous,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,8.1,0.10000000000000002
#deux-maures,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,8.1
Successions,#le-recitant,#un-balayeur,#un-badaud #une-nourrice #une-servante,#trois-ramoneurs,#le-crieur-de-ratons,#quatre-pages,#un-danseur-de-corde,#deux-filous,#deux-maures
#le-recitant,,,,,,,,,
#un-balayeur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-badaud #une-nourrice #une-servante,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#trois-ramoneurs,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
#le-crieur-de-ratons,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#quatre-pages,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#un-danseur-de-corde,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#deux-filous,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#deux-maures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
