VALEUR,#perpenna,#aufide,#sertorius,#aristie,#viriate,#thamire,#pompee,#arcas,#celsus
Fréquences (scènes),0.4090909090909091,0.22727272727272727,0.3181818181818182,0.4090909090909091,0.45454545454545453,0.18181818181818182,0.22727272727272727,0.045454545454545456,0.045454545454545456
Fréquences(répliques),0.13918305597579425,0.04589006555723651,0.2586989409984871,0.14170448814926878,0.24457892082702976,0.03530005042864347,0.12556732223903178,0.0070600100857286935,0.002017145738779627
Confrontation,0.18055555555555555,0.09722222222222222,0.1111111111111111,0.20833333333333334,0.19444444444444445,0.06944444444444445,0.09722222222222222,0.027777777777777776,0.013888888888888888
Déviations,#perpenna,#aufide,#sertorius,#aristie,#viriate,#thamire,#pompee,#arcas,#celsus
#perpenna,7.681818181818182,4.267676767676767,0.2604617604617605,0.12626262626262635,1.0686868686868685,1.6363636363636365,0.5343434343434342,0.4090909090909091,0.4090909090909091
#aufide,4.267676767676767,13.136363636363638,0.21948051948051941,0.5343434343434342,2.2727272727272725,0.9090909090909092,1.1363636363636362,0.2272727272727273,0.2272727272727273
#sertorius,0.2604617604617605,0.21948051948051941,10.22727272727273,1.2128427128427128,0.43896103896103883,0.05844155844155843,0.21948051948051941,0.3181818181818182,0.3181818181818182
#aristie,0.12626262626262635,0.5343434343434342,1.2128427128427128,7.681818181818182,0.20202020202020204,0.24747474747474754,0.44545454545454555,0.8535353535353533,0.4090909090909091
#viriate,1.0686868686868685,2.2727272727272725,0.43896103896103883,0.20202020202020204,6.545454545454547,0.7681818181818179,0.7127272727272725,0.6545454545454544,0.4545454545454546
#thamire,1.6363636363636365,0.9090909090909091,0.05844155844155843,0.24747474747474754,0.7681818181818183,14.727272727272725,0.9090909090909091,0.18181818181818182,0.18181818181818182
#pompee,0.5343434343434342,1.1363636363636362,0.21948051948051941,0.44545454545454555,0.7127272727272725,0.9090909090909092,13.136363636363638,0.2272727272727273,2.627272727272727
#arcas,0.4090909090909091,0.22727272727272727,0.3181818181818182,0.8535353535353533,0.6545454545454544,0.18181818181818182,0.22727272727272727,20.045454545454547,0.045454545454545456
#celsus,0.4090909090909091,0.22727272727272727,0.3181818181818182,0.4090909090909091,0.45454545454545453,0.18181818181818182,2.627272727272727,0.045454545454545456,20.045454545454547
Successions,#perpenna,#aufide,#sertorius,#aristie,#viriate,#thamire,#pompee,#arcas,#celsus
#perpenna,0.022222222222222223,0.17777777777777778,0.5111111111111111,0.06666666666666667,0.17777777777777778,0.0,0.044444444444444446,0.0,0.0
#aufide,0.75,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0
#sertorius,0.3,0.0375,0.0,0.0875,0.35,0.075,0.15,0.0,0.0
#aristie,0.08333333333333333,0.027777777777777776,0.16666666666666666,0.0,0.1111111111111111,0.0,0.5277777777777778,0.08333333333333333,0.0
#viriate,0.10909090909090909,0.0,0.5272727272727272,0.09090909090909091,0.01818181818181818,0.2545454545454545,0.0,0.0,0.0
#thamire,0.0,0.0,0.35,0.05,0.6,0.0,0.0,0.0,0.0
#pompee,0.08108108108108109,0.0,0.35135135135135137,0.4594594594594595,0.02702702702702703,0.0,0.05405405405405406,0.0,0.02702702702702703
#arcas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#celsus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
