VALEUR,#philinte,#eliante,#dubois,#alceste,#l-avocat,#le-procureur,#le-commissaire,#l-huissier
Fréquences (scènes),0.55,0.35,0.275,0.625,0.325,0.125,0.025,0.025
Fréquences(répliques),0.2188861985472155,0.09055690072639225,0.0784503631961259,0.3539951573849879,0.16319612590799032,0.06585956416464891,0.012590799031476998,0.01646489104116223
Confrontation,0.2468354430379747,0.14556962025316456,0.12658227848101267,0.25316455696202533,0.12658227848101267,0.0379746835443038,0.03164556962025317,0.03164556962025317
Déviations,#philinte,#eliante,#dubois,#alceste,#l-avocat,#le-procureur,#le-commissaire,#l-huissier
#philinte,8.099999999999998,2.4012987012987024,0.6946280991735542,0.004545454545454545,0.6465034965034967,0.20454545454545456,0.36818181818181805,0.36818181818181805
#eliante,2.4012987012986997,16.90000000000001,0.8889610389610394,0.35,1.4291208791208792,1.75,0.35000000000000003,0.35000000000000003
#dubois,0.6946280991735542,0.8889610389610386,21.024999999999995,0.18409090909090908,0.050524475524475476,1.375,1.9113636363636362,1.9113636363636362
#alceste,0.00454545454545448,0.35,0.18409090909090878,5.625,0.5557692307692308,0.005,0.225,0.225
#l-avocat,0.6465034965034967,1.4291208791208792,0.050524475524475476,0.5557692307692308,18.22499999999999,0.2403846153846154,1.401923076923077,1.401923076923077
#le-procureur,0.20454545454545456,1.75,1.375,0.005,0.2403846153846154,30.625,0.125,0.125
#le-commissaire,0.36818181818181805,0.35,1.9113636363636362,0.225,1.401923076923077,0.125,38.025,38.025
#le-commissaire,0.36818181818181805,0.35,1.9113636363636362,0.225,1.401923076923077,0.125,38.025,38.025
Successions,#philinte,#eliante,#dubois,#alceste,#l-avocat,#le-procureur,#le-commissaire,#l-huissier
#philinte,0.008,0.24,0.072,0.456,0.064,0.136,0.016,0.008
#eliante,0.6140350877192983,0.017543859649122806,0.08771929824561403,0.22807017543859648,0.05263157894736842,0.0,0.0,0.0
#dubois,0.11594202898550725,0.08695652173913043,0.0,0.6376811594202898,0.15942028985507245,0.0,0.0,0.0
#alceste,0.3089005235602094,0.07853403141361257,0.2198952879581152,0.041884816753926704,0.18848167539267016,0.11518324607329843,0.031413612565445025,0.015706806282722512
#l-avocat,0.04938271604938271,0.04938271604938271,0.14814814814814814,0.43209876543209874,0.012345679012345678,0.25925925925925924,0.024691358024691357,0.024691358024691357
#le-procureur,0.25,0.0,0.0,0.4166666666666667,0.3333333333333333,0.0,0.0,0.0
#le-commissaire,0.2727272727272727,0.0,0.09090909090909091,0.6363636363636364,0.0,0.0,0.0,0.0
#l-huissier,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0
