VALEUR,#octave,#scaramouche,#elise,#colombine,#arlequin,#pierrot,#mezzetin,#calmar,#jeanneton,#leandre,#le-choeur
Fréquences (scènes),0.16666666666666666,0.25,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.08333333333333333
Fréquences(répliques),0.0,0.013605442176870748,0.03304178814382896,0.22157434402332363,0.4946550048590865,0.06997084548104957,0.05053449951409135,0.0,0.09718172983479106,0.015549076773566569,0.003887269193391642
Confrontation,0.04081632653061224,0.05102040816326531,0.10204081632653061,0.15306122448979592,0.17346938775510204,0.061224489795918366,0.1326530612244898,0.12244897959183673,0.030612244897959183,0.08163265306122448,0.05102040816326531
Déviations,#octave,#scaramouche,#elise,#colombine,#arlequin,#pierrot,#mezzetin,#calmar,#jeanneton,#leandre,#le-choeur
#octave,8.333333333333336,4.5,0.6666666666666666,0.8333333333333334,0.02380952380952383,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.3333333333333337,0.16666666666666666
#scaramouche,4.5,6.75,1.0,1.25,0.03571428571428571,0.5,1.25,1.25,0.25,0.5,0.25
#elise,0.6666666666666666,1.0,5.333333333333335,1.0666666666666667,0.761904761904762,0.1666666666666667,0.2666666666666667,1.0666666666666667,1.3333333333333337,0.6666666666666666,0.3333333333333333
#colombine,0.8333333333333333,1.25,1.0666666666666669,4.083333333333332,0.002380952380952364,0.03333333333333337,0.003333333333333345,0.40333333333333315,0.8166666666666669,0.03333333333333337,0.8166666666666669
#arlequin,0.02380952380952377,0.03571428571428571,0.7619047619047616,0.002380952380952364,2.083333333333332,0.5952380952380955,0.4023809523809521,1.2595238095238097,0.5833333333333333,0.5952380952380955,0.2976190476190477
#pierrot,0.3333333333333333,0.5,0.1666666666666667,0.03333333333333332,0.5952380952380951,8.333333333333336,1.6333333333333329,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.16666666666666666
#mezzetin,0.8333333333333333,1.25,0.26666666666666655,0.003333333333333345,0.4023809523809521,1.6333333333333337,4.083333333333332,0.003333333333333345,0.41666666666666663,0.03333333333333337,0.8166666666666669
#calmar,0.8333333333333333,1.25,1.0666666666666669,0.40333333333333315,1.2595238095238097,0.8333333333333333,0.003333333333333345,4.083333333333332,0.8166666666666669,0.03333333333333337,0.8166666666666669
#jeanneton,0.16666666666666666,0.25,1.3333333333333337,0.8166666666666664,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.8166666666666664,10.083333333333332,0.16666666666666666,0.08333333333333333
#leandre,1.3333333333333337,0.5,0.6666666666666666,0.03333333333333332,0.5952380952380951,0.3333333333333333,0.03333333333333332,0.03333333333333332,0.16666666666666666,8.333333333333336,4.166666666666668
#le-choeur,0.16666666666666666,0.25,0.3333333333333333,0.8166666666666664,0.29761904761904756,0.16666666666666666,0.8166666666666664,0.8166666666666664,0.08333333333333333,4.166666666666668,10.083333333333332
Successions,#octave,#scaramouche,#elise,#colombine,#arlequin,#pierrot,#mezzetin,#calmar,#jeanneton,#leandre,#le-choeur
#octave,0.0,0.6153846153846154,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
#scaramouche,0.3870967741935484,0.0,0.0,0.0,0.5806451612903226,0.0,0.0,0.0,0.0,0.03225806451612903,0.0
#elise,0.0,0.041666666666666664,0.0,0.5416666666666666,0.125,0.0,0.0,0.125,0.16666666666666666,0.0,0.0
#colombine,0.0,0.0,0.25,0.0,0.46875,0.0,0.125,0.09375,0.0625,0.0,0.0
#arlequin,0.0,0.15384615384615385,0.008547008547008548,0.28205128205128205,0.0,0.28205128205128205,0.15384615384615385,0.0,0.0,0.1111111111111111,0.008547008547008548
#pierrot,0.0,0.0,0.0,0.0,0.9714285714285714,0.0,0.02857142857142857,0.0,0.0,0.0,0.0
#mezzetin,0.0,0.0,0.0,0.1891891891891892,0.4864864864864865,0.05405405405405406,0.0,0.2702702702702703,0.0,0.0,0.0
#calmar,0.0,0.0,0.11538461538461539,0.23076923076923078,0.0,0.0,0.38461538461538464,0.0,0.23076923076923078,0.038461538461538464,0.0
#jeanneton,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0
#leandre,0.13333333333333333,0.26666666666666666,0.0,0.0,0.5333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
#le-choeur,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
