VALEUR,#le-comte,#orantee,#lydie,#laure,#octave,#le-roi,#clidamas,#arban,#l-infante
Fréquences (scènes),0.23076923076923078,0.5769230769230769,0.21153846153846154,0.38461538461538464,0.38461538461538464,0.3076923076923077,0.057692307692307696,0.019230769230769232,0.07692307692307693
Fréquences(répliques),0.05622879301987397,0.3291323315559864,0.041202132816286964,0.16383906931652933,0.14881240911294233,0.16577799321376635,0.041202132816286964,0.007755695588948134,0.046049442559379546
Confrontation,0.09134615384615384,0.22596153846153846,0.11057692307692307,0.18269230769230768,0.15384615384615385,0.12980769230769232,0.03365384615384615,0.009615384615384616,0.0625
Déviations,#le-comte,#orantee,#lydie,#laure,#octave,#le-roi,#clidamas,#arban,#l-infante
#le-comte,30.769230769230763,0.534188034188034,2.5384615384615383,0.08205128205128218,4.615384615384616,10.775641025641024,0.6923076923076923,0.23076923076923078,0.9230769230769231
#orantee,0.534188034188034,9.307692307692317,0.018881118881118753,0.025128205128205117,0.01846153846153847,1.1307692307692303,0.04188034188034193,0.3102564102564104,1.2410256410256415
#lydie,2.5384615384615388,0.018881118881118847,32.32692307692308,1.8125874125874124,0.13986013986013984,0.5664335664335667,0.21037296037296027,0.21153846153846156,1.5734265734265729
#laure,0.08205128205128218,0.025128205128204954,1.8125874125874124,19.69230769230769,0.06230769230769234,0.753846153846154,0.6205128205128202,0.38461538461538464,1.3884615384615382
#octave,4.615384615384616,0.018461538461538616,0.13986013986013984,0.06230769230769234,19.69230769230769,0.753846153846154,0.020512820512820544,0.9846153846153847,0.1384615384615384
#le-roi,10.775641025641024,1.1307692307692303,0.5664335664335663,0.753846153846154,0.753846153846154,24.92307692307692,0.9230769230769231,0.3076923076923077,0.04326923076923079
#clidamas,0.6923076923076923,0.04188034188034193,0.21037296037296044,0.6205128205128202,0.020512820512820544,0.9230769230769231,46.17307692307693,0.057692307692307696,2.5641025641025634
#arban,0.23076923076923078,0.3102564102564104,0.21153846153846154,0.38461538461538464,0.9846153846153847,0.3076923076923077,0.057692307692307696,50.01923076923076,0.07692307692307693
#l-infante,0.9230769230769231,1.2410256410256415,1.573426573426573,1.3884615384615382,0.1384615384615384,0.04326923076923079,2.5641025641025634,0.07692307692307693,44.307692307692314
Successions,#le-comte,#orantee,#lydie,#laure,#octave,#le-roi,#clidamas,#arban,#l-infante
#le-comte,0.0,0.45454545454545453,0.0,0.09090909090909091,0.0,0.45454545454545453,0.0,0.0,0.0
#orantee,0.10526315789473684,0.022556390977443608,0.022556390977443608,0.2631578947368421,0.37593984962406013,0.14285714285714285,0.007518796992481203,0.015037593984962405,0.045112781954887216
#lydie,0.047619047619047616,0.09523809523809523,0.0,0.38095238095238093,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0
#laure,0.037037037037037035,0.41975308641975306,0.08641975308641975,0.012345679012345678,0.14814814814814814,0.19753086419753085,0.024691358024691357,0.0,0.07407407407407407
#octave,0.0,0.5783132530120482,0.08433734939759036,0.1927710843373494,0.024096385542168676,0.10843373493975904,0.0,0.0,0.012048192771084338
#le-roi,0.23880597014925373,0.3283582089552239,0.029850746268656716,0.208955223880597,0.14925373134328357,0.0,0.0,0.0,0.04477611940298507
#clidamas,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855
#arban,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#l-infante,0.0,0.2631578947368421,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.2631578947368421,0.15789473684210525,0.0,0.0
